time,query_image,rank,caption,owner_image,score
20251110_173257,data/Images/127450902_533ceeddfc.jpg,1,"A photo of ""People hiking through an icy , hilly landscape .""",433810429_a4da0eac50.jpg,0.32926905155181885
20251110_173257,data/Images/127450902_533ceeddfc.jpg,2,A photo of Four hikers hike on trail through snow .,2467821766_0510c9a2d1.jpg,0.3272339105606079
20251110_173257,data/Images/127450902_533ceeddfc.jpg,3,A photo of Three people walk on a snow covered wasteland .,433810429_a4da0eac50.jpg,0.31102254986763
20251110_173257,data/Images/127450902_533ceeddfc.jpg,4,A photo of Three people walking across an icy hill .,433810429_a4da0eac50.jpg,0.30801743268966675
20251110_173257,data/Images/127450902_533ceeddfc.jpg,5,A photo of Three people backpacking across a large snowy and rocky field .,433810429_a4da0eac50.jpg,0.29475969076156616
20251110_173257,data/Images/127450902_533ceeddfc.jpg,6,A photo of three men hike in the snow .,433810429_a4da0eac50.jpg,0.29422515630722046
20251110_173257,data/Images/127450902_533ceeddfc.jpg,7,A photo of A person is walking up a snowy hill,2052953131_30834196fb.jpg,0.2811748683452606
20251110_173257,data/Images/127450902_533ceeddfc.jpg,8,A photo of A group of four hiking through a snowy forest .,2467821766_0510c9a2d1.jpg,0.28028303384780884
20251110_173257,data/Images/127450902_533ceeddfc.jpg,9,A photo of A group of people are backpacking through the woods and snow .,2467821766_0510c9a2d1.jpg,0.2747737765312195
20251110_173257,data/Images/127450902_533ceeddfc.jpg,10,A photo of People mountain climbing .,3502343542_f9b46688e5.jpg,0.27350178360939026
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,1,A photo of A man tossing a Frisbee to his dog that leaps to catch it .,3564157681_03a13b7112.jpg,0.3198394775390625
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,2,A photo of a black and white dog is catching a Frisbee,2896483502_6f807bae9e.jpg,0.31979846954345703
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,3,A photo of A black and white dog is catching a Frisbee .,2896483502_6f807bae9e.jpg,0.31854844093322754
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,4,A photo of A dog leaps over a man in a white cap to catch and orange Frisbee .,256283122_a4ef4a17cb.jpg,0.316812127828598
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,5,A photo of A man is watching a dog catch a Frisbee in midair .,3564157681_03a13b7112.jpg,0.3132075369358063
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,6,A photo of A dog leaps over a man to catch a disc .,256283122_a4ef4a17cb.jpg,0.3109722435474396
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,7,A photo of A black and white dog catches a Frisbee in midair .,460781612_6815c74d37.jpg,0.30798956751823425
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,8,A photo of A black and white dog jumps up in the air to catch a Frisbee .,460781612_6815c74d37.jpg,0.30463576316833496
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,9,A photo of A man stands by as a dog leaps to grab a Frisbee while people sitting on a wall watch .,3564157681_03a13b7112.jpg,0.2939162850379944
20251110_173510,data/Images/2450453051_f1d4a78ab4.jpg,10,A photo of A dog catching a Frisbee .,2896483502_6f807bae9e.jpg,0.2930998206138611
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,1,A photo of An older girl and a younger girl playing barefoot in a puddle,2706430695_3b5667741c.jpg,0.2929988205432892
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,2,A photo of A girl throws stones and watches the lake splash .,3737711435_113ccd0a52.jpg,0.2845829725265503
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,3,A photo of A young girl plays in fountain water .,3484649669_7bfe62080b.jpg,0.28347769379615784
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,4,"A photo of ""A little girl in a swimsuit and braids is in front of the water , in the grass , with her arms crossed in front of her chest""",862054277_34b5a6f401.jpg,0.2806437313556671
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,5,A photo of A girl walking on a beach barefoot .,2527303359_6c3dc3f282.jpg,0.2776642441749573
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,6,A photo of Two girls in denim shorts stand in a puddle of water .,2706430695_3b5667741c.jpg,0.27420827746391296
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,7,A photo of A young girl is playing in a fountain of water .,3484649669_7bfe62080b.jpg,0.2734219431877136
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,8,A photo of A girl in a sandy area .,1412832223_99e8b4701a.jpg,0.2732943594455719
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,9,A photo of A girl in a white dress walks toward the water and away from white boots on a beach .,2527303359_6c3dc3f282.jpg,0.2706216275691986
20251110_173615,data/Images/2594459477_8ca0121a9a.jpg,10,A photo of A girl in water-wear has skipped a stone off an enclosed body of water .,3737711435_113ccd0a52.jpg,0.2676686644554138
